Family,Old ID,New ID,Status,Old Description,New Description,Notes
CNA,KSI-CNA-2,CNA-01,modified,Configure firewalls/proxy servers to limit inbound and outbound traffic,Configure ALL information resources to limit inbound and outbound traffic,Expanded scope from firewalls/proxy to ALL information resources
CNA,KSI-CNA-4,CNA-02,modified,Design systems as logically segmented micro-services to minimize the attack surface and lateral movement if compromised,Design systems to minimize the attack surface and minimize lateral movement if compromised,"Simplified wording, removed micro-services specificity"
CNA,KSI-CNA-5,CNA-03,modified,Use cloud native virtual networks and related capabilities to enforce logical traffic flow controls,Use logical networking and related capabilities to enforce traffic flow controls,"Removed ""cloud native virtual"" specification"
CNA,KSI-CNA-3,CNA-04,modified,Use immutable containers and serverless functions with strictly defined functionality and privileges,Use immutable infrastructure with strictly defined functionality and privileges by default,"Expanded from containers/serverless to all infrastructure, added ""by default"""
CNA,KSI-CNA-1,CNA-05,reordered,Have denial of service (DoS) protection,Have denial of service protection,Minor formatting change (removed DoS abbreviation)
CNA,KSI-CNA-7,CNA-06,modified,Use high availability design principles to maximize uptime,Design systems for high availability and rapid recovery,"Added ""rapid recovery"" component"
CNA,,CNA-07,added,,Ensure cloud-native information resources are implemented based on host provider's best practices and documented guidance,New requirement for following provider best practices
CNA,KSI-CNA-6,,removed,Execute continuous scanning of cloud native system components,,"Removed from CNA, may be covered in MLA section"
SVC,KSI-SC-1,SVC-01,same,Harden and review network and system configurations,Harden and review network and system configurations,
SVC,KSI-SC-2,SVC-02,modified,Encrypt all network traffic,Encrypt or otherwise secure network traffic,"Added ""or otherwise secure"" option"
SVC,KSI-SC-3,SVC-03,same,Encrypt all federal and sensitive information at rest,Encrypt all federal and sensitive information at rest,
SVC,KSI-SC-4,SVC-04,same,Manage configuration centrally,Manage configuration centrally,
SVC,KSI-SC-5,SVC-05,modified,Enforce system and component integrity through cryptographic means,Enforce system and information resource integrity through cryptographic means,"Changed ""component"" to ""information resource"""
SVC,KSI-SC-6,SVC-06,modified,Use a key management capability to execute regular rotation of digital keys,"Use automated key management systems to manage, protect, and regularly rotate digital keys and certificates","Specified automation and added certificates, expanded scope"
SVC,KSI-SC-7,SVC-07,same,"Use a consistent, risk-informed approach for applying security patches","Use a consistent, risk-informed approach for applying security patches",
IAM,KSI-IAM-1,IAM-01,modified,Enforce phishing-resistant multi-factor authentication (MFA),Enforce multi-factor authentication (MFA) using methods that are difficult to intercept or impersonate (phishing-resistant MFA) for all user authentication,Added detailed explanation and scope to all user authentication
IAM,KSI-IAM-2,IAM-02,modified,Enforce strong passwords,"Use secure passwordless methods for user authentication and authorization when feasible, otherwise enforce strong passwords with MFA","Prioritized passwordless methods, added MFA requirement for passwords"
IAM,KSI-IAM-3,IAM-03,modified,Use secure API authentication methods via industry standard protocols,Enforce appropriately secure authentication methods for non-user accounts and services,Expanded from API-specific to all non-user accounts and services
IAM,KSI-IAM-4,IAM-04,modified,"Use a least-privileged, role-based, and just-in-time security model","Use a least-privileged, role and attribute-based, and just-in-time security authorization model for all user and non-user accounts and services","Added attribute-based, specified authorization model, expanded scope"
IAM,,IAM-05,added,,Apply zero trust design principles,New zero trust requirement (moved from 3IR section)
IAM,,IAM-06,added,,Automatically disable or otherwise secure accounts with privileged access in response to suspicious activity,New automated security response requirement
MLA,KSI-MLA-1,MLA-01,modified,"Operate a Security Information and Event Management (SIEM) system for centralized, tamper-resistent event, activity, and change logging","Operate a Security Information and Event Management (SIEM) or similar system(s) for centralized, tamper-resistent logging of events, activities, and changes","Added ""or similar system(s)"" flexibility, reordered wording"
MLA,KSI-MLA-2,MLA-02,same,Regularly review and audit logs,Regularly review and audit logs,
MLA,KSI-MLA-3,MLA-03,same,Rapidly detect and remediate or mitigate vulnerabilities,Rapidly detect and remediate or mitigate vulnerabilities,
MLA,KSI-MLA-4,MLA-04,modified,Perform authenticated vulnerability scanning on publicly accessible components,Perform authenticated vulnerability scanning on information resources,Expanded scope from publicly accessible components to all information resources
MLA,KSI-MLA-5,MLA-05,modified,Perform Infrastructure as Code (IaC) and configuration scanning,Perform Infrastructure as Code and configuration evaluation and testing,"Changed ""scanning"" to ""evaluation and testing"""
MLA,KSI-MLA-6,MLA-06,modified,Centrally track and prioritize the remediation of identified vulnerabilities,Centrally track and prioritize the mitigation and/or remediation of identified vulnerabilities,"Added ""mitigation and/or"" options"
CMT,KSI-CM-1,CMT-01,same,Log and monitor system modifications,Log and monitor system modifications,
CMT,KSI-CM-2,CMT-02,same,Execute changes though redeployment of version controlled immutable resources rather than direct modification wherever possible,Execute changes though redeployment of version controlled immutable resources rather than direct modification wherever possible,
