"Control Part","OSCAL_ID","ParamifiedProse"
"AFR-ADS","afr-ads_smt","Determine how authorization data will be shared with all necessary parties in alignment with the FedRAMP Authorization Data Sharing (ADS) process and persistently address all related requirements and recommendations."
"AFR-CCM","afr-ccm_smt","Maintain a plan and process for providing Ongoing Authorization Reports and Quarterly Reviews for all necessary parties in alignment with the FedRAMP Collaborative Continuous Monitoring (CCM) process and persistently address all related requirements and recommendations."
"AFR-FSI","afr-fsi_smt","Operate a secure inbox to receive critical communication from FedRAMP and other government entities in alignment with FedRAMP Security Inbox (FSI) requirements and persistently address all related requirements and recommendations."
"AFR-ICP","afr-icp_smt","Integrate FedRAMP's Incident Communications Procedures (ICP) into incident response procedures and persistently address all related requirements and recommendations."
"AFR-MAS","afr-mas_smt","Apply the FedRAMP Minimum Assessment Scope (MAS) to identify and document the scope of the cloud service offering to be assessed for FedRAMP authorization and persistently address all related requirements and recommendations."
"AFR-PVA","afr-pva_smt","Persistently validate, assess, and report on the effectiveness and status of security decisions and policies that are implemented within the cloud service offering in alignment with the FedRAMP 20x Persistent Validation and Assessment (PVA) process, and persistently address all related requirements and recommendations."
"AFR-SCG","afr-scg_smt","Develop secure by default configurations and provide guidance for secure configuration of the cloud service offering to customers in alignment with the FedRAMP Secure Configuration Guide (SCG) process and persistently address all related requirements and recommendations."
"AFR-SCN","afr-scn_smt","Determine how significant changes will be tracked and how all necessary parties will be notified in alignment with the FedRAMP Significant Change Notifications (SCN) process and persistently address all related requirements and recommendations."
"AFR-UCM","afr-ucm_smt","Ensure that cryptographic modules used to protect potentially sensitive federal customer data are selected and used in alignment with the FedRAMP 20x Using Cryptographic Modules (UCM) guidance and persistently address all related requirements and recommendations."
"AFR-VDR","afr-vdr_smt","Document the vulnerability detection and vulnerability response methodology used within the cloud service offering in alignment with the FedRAMP Vulnerability Detection and Response (VDR) process and persistently address all related requirements and recommendations."
"CMT-LMC","cmt-lmc_smt","Log and monitor modifications to the cloud service offering."
"CMT-RMV","cmt-rmv_smt","Execute changes to machine-based information resources through redeployment of version controlled immutable resources rather than direct modification wherever reasonable."
"CMT-RVP","cmt-rvp_smt","Persistently review the effectiveness of documented change management procedures."
"CMT-VTD","cmt-vtd_smt","Automate persistent testing and validation of changes throughout deployment."
"CNA-DFP","cna-dfp_smt","Strictly define the functionality and privileges for infrastructure and services."
"CNA-EIS","cna-eis_smt","Use automated services to persistently assess the security posture of all machine-based information resources and automatically enforce their intended operational state."
"CNA-IBP","cna-ibp_smt","Persistently ensure cloud-native machine-based information resources are implemented based on the host provider's best practices and documented guidance."
"CNA-MAT","cna-mat_smt","Persistently ensure machine-based information resources have a minimal attack surface and that lateral movement is minimized if compromised."
"CNA-OFA","cna-ofa_smt","Appropriately optimize machine-based information resources for high availability and rapid recovery."
"CNA-RNT","cna-rnt_smt","Persistently ensure all machine-based information resources are configured to limit inbound and outbound network traffic."
"CNA-RVP","cna-rvp_smt","Persistently review the effectiveness of protection against denial of service attacks and other unwanted activity."
"CNA-ULN","cna-uln_smt","Use logical networking and related capabilities to enforce traffic flow controls."
"CED-DET","ced-det_smt","Persistently review the effectiveness of role-specific training given to development and engineering staff that covers best practices for delivering secure software."
"CED-RGT","ced-rgt_smt","Persistently review the effectiveness of training given to all employees on policies, procedures, and security-related topics."
"CED-RRT","ced-rrt_smt","Persistently review the effectiveness of role-specific training given to staff involved with incident response or disaster recovery."
"CED-RST","ced-rst_smt","Persistently review the effectiveness of role-specific training given to employees in high risk roles, including at least roles with privileged access."
"IAM-AAM","iam-aam_smt","Securely manage the lifecycle and privileges of all accounts, roles, and groups, using automation."
"IAM-APM","iam-apm_smt","Use secure passwordless methods for user authentication and authorization when feasible, otherwise enforce strong passwords with MFA for authentication."
"IAM-ELP","iam-elp_smt","Persistently ensure that identity and access management employs measures to ensure each user or device can only access the resources they need."
"IAM-JIT","iam-jit_smt","Use a least-privileged, role and attribute-based, and just-in-time security authorization model for all user and non-user accounts and services."
"IAM-MFA","iam-mfa_smt","Enforce multi-factor authentication (MFA) using methods that are difficult to intercept or impersonate (phishing-resistant MFA) for all user authentication."
"IAM-SNU","iam-snu_smt","Enforce appropriately secure authentication methods for non-user accounts and services."
"IAM-SUS","iam-sus_smt","Automatically disable or otherwise secure accounts with privileged access in response to suspicious activity."
"INR-AAR","inr-aar_smt","Generate incident after action reports and persistently incorporate lessons learned."
"INR-RIR","inr-rir_smt","Persistently review the effectiveness of documented incident response procedures."
"INR-RPI","inr-rpi_smt","Persistently review past incidents for patterns or vulnerabilities."
"MLA-ALA","mla-ala_smt","Use a least-privileged, role and attribute-based, and just-in-time access authorization model for access to log data based on organizationally defined data sensitivity."
"MLA-EVC","mla-evc_smt","Persistently evaluate and test the configuration of machine-based information resources, especially infrastructure as code."
"MLA-LET","mla-let_smt","Maintain a list of information resources and event types that will be logged, monitored, and audited, then do so."
"MLA-OSM","mla-osm_smt","Operate a Security Information and Event Management (SIEM) or similar system(s) for centralized, tamper-resistent logging of events, activities, and changes."
"MLA-RVL","mla-rvl_smt","Persistently review and audit logs."
"PIY-GIV","piy-giv_smt","Use authoritative sources to automatically generate real-time inventories of all information resources when needed."
"PIY-RES","piy-res_smt","Persistently review executive support for achieving the organization's security objectives."
"PIY-RIS","piy-ris_smt","Persistently review the effectiveness of the organization's investments in achieving security objectives."
"PIY-RSD","piy-rsd_smt","Persistently review the effectiveness of building security and privacy considerations into the Software Development Lifecycle and aligning with CISA Secure By Design principles."
"PIY-RVD","piy-rvd_smt","Persistently review the effectiveness of the provider's vulnerability disclosure program."
"RPL-ABO","rpl-abo_smt","Persistently review the alignment of machine-based information resource backups with defined recovery objectives."
"RPL-ARP","rpl-arp_smt","Persistently review the alignment of recovery plans with defined recovery objectives."
"RPL-RRO","rpl-rro_smt","Persistently review desired Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO)."
"RPL-TRC","rpl-trc_smt","Persistently test the capability to recover from incidents and contingencies, including alignment with defined recovery objectives."
"SVC-ACM","svc-acm_smt","Manage configuration of machine-based information resources using automation."
"SVC-ASM","svc-asm_smt","Automate management, protection, and regular rotation of digital keys, certificates, and other secrets."
"SVC-EIS","svc-eis_smt","Implement improvements based on persistent evaluation of information resources for opportunities to improve security."
"SVC-PRR","svc-prr_smt","Persistently review plans, procedures, and the state of information resources after making changes to limit and remove unwanted residual elements that would likely negatively affect the confidentiality, integrity, or availability of federal customer data."
"SVC-RUD","svc-rud_smt","Remove unwanted federal customer data promptly when requested by an agency in alignment with customer agreements, including from backups if appropriate; this typically applies when a customer spills information or when a customer seeks to remove information from a service due to a change in usage."
"SVC-SNT","svc-snt_smt","Encrypt or otherwise secure network traffic."
"SVC-VCM","svc-vcm_smt","Persistently validate the authenticity and integrity of communications between machine-based information resources using automation."
"SVC-VRI","svc-vri_smt","Use cryptographic methods to validate the integrity of machine-based information resources."
"SCR-MIT","scr-mit_smt","Persistently identify, review, and mitigate potential supply chain risks."
"SCR-MON","scr-mon_smt","Automatically monitor third party software information resources for upstream vulnerabilities using mechanisms that may include contractual notification requirements or active monitoring services."
