"Control Part","OSCAL_ID","ParamifiedProse"
"ADS-01","ads-01_smt","Providers MUST publicly share up-to-date information about the cloud service offering in both human-readable and machine-readable formats, including at least:
• Direct link to the FedRAMP Marketplace for the offering
• Service Model
• Deployment Model
• Business Category
• UEI Number
• Contact Information
• Overall Service Description
• Detailed list of specific services and their impact levels (see FRR-ADS-03)
• Summary of customer responsibilities and secure configuration guidance
• Process for accessing information in the trust center (if applicable)
• Availability status and recent disruptions for the trust center (if applicable)
• Customer support information for the trust center (if applicable)"
"ADS-02","ads-02_smt","Providers MUST use automation to ensure information remains consistent between human-readable and machine-readable formats when authorization data is provided in both formats; Providers SHOULD generate human-readable and machine-readable data from the same source at the same time OR generate human-readable formats directly from machine-readable data."
"ADS-03","ads-03_smt","Providers MUST share a detailed list of specific services and their impact levels that are included in the cloud service offering using clear feature or service names that align with standard public marketing materials; this list MUST be complete enough for a potential customer to determine which services are and are not included in the FedRAMP authorization without requesting access to underlying authorization data."
"ADS-04","ads-04_smt","Providers MUST share authorization data with all necessary parties without interruption, including at least FedRAMP, CISA, and agency customers."
"ADS-05","ads-05_smt","Providers MUST provide sufficient information in authorization data to support authorization decisions but SHOULD NOT include sensitive information that would likely enable a threat actor to gain unauthorized access, cause harm, disrupt operations, or otherwise have a negative adverse impact on the cloud service offering."
"ADS-06","ads-06_smt","Providers of FedRAMP Rev5 Authorized cloud service offerings MUST share authorization data via the USDA Connect Community Portal UNLESS they use a FedRAMP-compatible trust center."
"ADS-07","ads-07_smt","Providers of FedRAMP 20x Authorized cloud service offerings MUST use a FedRAMP-compatible trust center to store and share authorization data with all necessary parties."
"ADS-08","ads-08_smt","Providers MUST notify all necessary parties when migrating to a trust center and MUST provide information in their existing USDA Connect Community Portal secure folders explaining how to use the trust center to obtain authorization data."
"ADS-09","ads-09_smt","Providers MUST make historical versions of authorization data available for three years to all necessary parties UNLESS otherwise specified by applicable FedRAMP requirements; deltas between versions MAY be consolidated quarterly."
"ADS-10","ads-10_smt","Providers SHOULD follow FedRAMP’s best practices and technical assistance for sharing authorization data where applicable."
"ADS-AC-01","ads-AC-01_smt","Providers MUST publicly provide plain-language policies and guidance for all necessary parties that explains how they can obtain and manage access to authorization data stored in the trust center."
"ADS-AC-02","ads-AC-02_smt","Providers SHOULD share at least the authorization package with prospective agency customers upon request and MUST notify FedRAMP within five business days if a prospective agency customer request is denied."
"ADS-TC-01","ads-TC-01_smt","Trust centers MUST be included as an information resource included in the cloud service offering for assessment if FRR-MAS-01 applies."
"ADS-TC-02","ads-TC-02_smt","Trust centers SHOULD make authorization data available to view and download in both human-readable and machine-readable formats"
"ADS-TC-03","ads-TC-03_smt","Trust centers MUST provide documented programmatic access to all authorization data, including programmatic access to human-readable materials."
"ADS-TC-04","ads-TC-04_smt","Trust centers SHOULD include features that encourage all necessary parties to provision and manage access to authorization data for their users and services directly."
"ADS-TC-05","ads-TC-05_smt","Trust centers MUST maintain an inventory and history of federal agency users or systems with access to authorization data and MUST make this information available to FedRAMP without interruption."
"ADS-TC-06","ads-TC-06_smt","Trust centers MUST log access to authorization data and store summaries of access for at least six months; such information, as it pertains to specific parties, SHOULD be made available upon request by those parties."
"ADS-TC-07","ads-TC-07_smt","Trust centers SHOULD deliver responsive performance during normal operating conditions and minimize service disruptions."
"ADS-EX-01","ads-EX-01_smt","Providers of FedRAMP Rev5 Authorized cloud service offerings at FedRAMP High using a legacy self-managed repository for authorization data MAY ignore the requirements in this Authorization Data Sharing document until future notice."
"CCM-01","ccm-01_smt","Providers MUST make an Ongoing Authorization Report available to all necessary parties every 3 months, in a consistent format that is human readable, covering the entire period since the previous summary; this report MUST include high-level summaries of at least the following information:
• Changes to authorization data
• Planned changes to authorization data during at least the next 3 months
• Accepted vulnerabilities
• Transformative changes
• Updated recommendations or best practices for security, configuration, usage, or similar aspects of the cloud service offering"
"CCM-02","ccm-02_smt","Providers SHOULD establish a regular 3 month cycle for Ongoing Authorization Reports that is spread out from the beginning, middle, or end of each quarter."
"CCM-03","ccm-03_smt","Providers MUST publicly include the target date for their next Ongoing Authorization Report with the authorization data required by FRR-ADS-01."
"CCM-04","ccm-04_smt","Providers MUST establish and share an asynchronous mechanism for all necessary parties to provide feedback or ask questions about each Ongoing Authorization Report."
"CCM-05","ccm-05_smt","Providers MUST maintain an anonymized and desensitized summary of the feedback, questions, and answers about each Ongoing Authorization Report as an addendum to the Ongoing Authorization Report."
"CCM-06","ccm-06_smt","Providers MUST NOT irresponsibly disclose sensitive information in an Ongoing Authorization Report that would likely have an adverse effect on the cloud service offering."
"CCM-07","ccm-07_smt","Providers MAY responsibly share some or all of the information an Ongoing Authorization Report publicly or with other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering."
"CCM-QR-01","ccm-QR-01_smt","Providers SHOULD host a synchronous Quarterly Review every 3 months, open to all necessary parties, to review aspects of the most recent Ongoing Authorization Reports that the provider determines are of the most relevance to agencies; providers who do not host Quarterly Reviews MUST clearly state this and explain this decision in the authorization data available to all necessary parties required by FRR-ADS-06 and FRR-ADS-07"
"CCM-QR-02","ccm-QR-02_smt","Providers MUST host a synchronous Quarterly Review every 3 months, open to all necessary parties, to review aspects of the most recent Ongoing Authorization Reports that the provider determines are of the most relevance to agencies."
"CCM-QR-03","ccm-QR-03_smt","Providers SHOULD regularly schedule Quarterly Reviews to occur at least 3 business days after releasing an Ongoing Authorization Report AND within 10 business days of such release."
"CCM-QR-04","ccm-QR-04_smt","Providers MUST NOT irresponsibly disclose sensitive information in a Quarterly Review that would likely have an adverse effect on the cloud service offering."
"CCM-QR-05","ccm-QR-05_smt","Providers MUST include either a registration link or a downloadable calendar file with meeting information for Quarterly Reviews in the authorization data available to all necessary parties required by FRR-ADS-06 and FRR-ADS-07."
"CCM-QR-06","ccm-QR-06_smt","Providers MUST publicly include the target date for their next Quarterly Review with the authorization data required by FRR-ADS-01."
"CCM-QR-07","ccm-QR-07_smt","Providers SHOULD include additional information in Quarterly Reviews that the provider determines is of interest, use, or otherwise relevant to agencies."
"CCM-QR-08","ccm-QR-08_smt","Providers SHOULD NOT invite third parties to attend Quarterly Reviews intended for agencies unless they have specific relevance."
"CCM-QR-09","ccm-QR-09_smt","Providers SHOULD record or transcribe Quarterly Reviews and make such available to all necessary parties with other authorization data required by FRR-ADS-06 and FRR-ADS07."
"CCM-QR-10","ccm-QR-10_smt","Providers MAY responsibly share recordings or transcriptions of Quarterly Reviews with the public or other parties ONLY if the provider removes all agency information (comments, questions, names, etc.) AND determines sharing will NOT likely have an adverse effect on the cloud service offering."
"CCM-QR-11","ccm-QR-11_smt","Providers MAY responsibly share content prepared for a Quarterly Review with the public or other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering."
"CCM-AG-01","ccm-AG-01_smt","Agencies MUST review each Ongoing Authorization Report to understand how changes to the cloud service offering may impact the previously agreed-upon risk tolerance documented in the agency's_ Authorization to Operate of a federal information system that includes the cloud service offering in its boundary."
"CCM-AG-02","ccm-AG-02_smt","Agencies SHOULD consider the Security Category noted in their Authorization to Operate of the federal information system that includes the cloud service offering in its boundary and assign appropriate information security resources for reviewing Ongoing Authorization Reports, attending Quarterly Reviews, and other ongoing authorization data."
"CCM-AG-03","ccm-AG-03_smt","Agencies SHOULD designate a senior information security official to review Ongoing Authorization Reports and represent the agency at Quarterly Reviews for cloud service offerings included in agency information systems with a Security Category of High."
"CCM-AG-04","ccm-AG-04_smt","Agencies SHOULD formally notify the provider if the information presented in an Ongoing Authorization Report, Quarterly Review, or other ongoing authorization data causes significant concerns that may lead the agency to remove the cloud service offering from operation."
"CCM-AG-05","ccm-AG-05_smt","Agencies MUST notify FedRAMP by sending a notification to info@fedramp.gov if the information presented in an Ongoing Authorization Report, Quarterly Review, or other ongoing authorization data causes significant concerns that may lead the agency to stop operation of the cloud service offering."
"CCM-AG-06","ccm-AG-06_smt","Agencies MUST NOT place additional security requirements on cloud service providers beyond those required by FedRAMP UNLESS the head of the agency or an authorized delegate makes a determination that there is a demonstrable need for such; this does not apply to seeking clarification or asking general questions about authorization data."
"CCM-AG-07","ccm-AG-07_smt","Agencies MUST inform FedRAMP after requesting any additional information or materials from a cloud service provider beyond those FedRAMP requires by sending a notification to info@fedramp.gov."
"FSI-01","fsi-01_smt","FedRAMP MUST send messages to cloud service providers using an official @fedramp.gov or @gsa.gov email address with properly configured Sender Policy Framework (SPF), DomainKeys Identified Mail (DKIM), and Domain-based Message Authentication Reporting and Conformance (DMARC) email authentication."
